,digital,digitalisasi,digitalisation,digitalization,app,apps,apple,b2b,digital on-boarding,digital onboarding,digital on boarding,e-commerce,fintech,google,internet banking,marketplace,mobile,multi-channel,multi channel,omni-channel,omni channel,online,open banking,platform,play store,user experience,ux,video banking,video on-boarding,video onboarding,video on boarding,virtual banking,virtual assistant,analytic,analytics,artificial intelligence,ai,big data,data governance,data management,manajemen data,pengelolaan data,data pribadi,data processing,data protection,perlindungan data,kecerdasan buatan,machine learning,ml,pembelajaran mesin,pemelajaran mesin,personal data,predictive,investasi digital,investasi teknologi,investasi it,agile,automasi,automation,otomasi,otomatisasi,credit score,credit scoring,data scientist,digital culture,budaya digital,digital mindset,digital talent,talenta digital,efisiensi,efficiency,fraud,inovasi,innovation,scrum,robo,robot,robotic,api,application programming,programming interface,augmented reality,ar,authentication,biometric,blockchain,cardless,tanpa kartu,cloud,contactless,data science,digital signature,tanda tangan digital,distributed ledger,infrastruktur digital,digital infrastructure,internet of things,internet-of-things,iot,qr,qris,regulatory technology,regtech,teknologi,technology,virtual reality,vr,filename,year
29,18,5,0,2,0,0,0,0,0,0,0,0,1,0,4,0,4,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,6,7,64,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,BBYB.pdf,2018
30,93,389,0,391,6,8,2,1,0,0,0,0,8,4,11,7,41,0,1,0,0,77,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,16,45,13,12,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,107,112,0,0,BRIS.pdf,2018
31,97,8,0,3,0,4,0,0,0,0,0,0,6,0,53,2,99,0,0,0,0,45,0,21,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,2,29,188,16,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,189,164,0,0,BJTM.pdf,2018
32,57,7,0,7,9,4,0,0,0,0,0,0,18,0,8,0,24,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,21,25,72,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,62,0,0,BEKS.pdf,2018
33,31,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,18,0,0,0,0,13,0,22,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,16,1,0,0,0,0,0,0,0,0,10,0,69,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,8,0,0,BTPS.pdf,2018
34,107,7,0,4,6,10,0,0,0,0,0,0,38,0,34,2,69,0,0,0,0,62,0,12,0,0,0,0,0,0,0,0,0,0,5,0,31,1,2,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,6,1,5,0,2,0,0,0,0,0,0,29,30,130,14,19,0,0,0,0,6,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,200,232,0,0,BJBR.pdf,2018
35,8,1,0,1,0,0,0,0,0,0,0,0,6,0,11,0,20,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,59,0,0,BNBA.pdf,2018
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,10,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,BSWD.pdf,2018
37,8,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,0,0,MCOR.pdf,2018
38,265,18,0,7,6,5,0,0,0,0,0,0,40,2,13,1,60,0,2,0,0,80,1,27,0,2,0,0,0,0,0,0,0,1,0,0,32,7,0,0,0,0,1,0,1,0,0,4,1,0,0,2,0,2,2,0,20,0,1,3,0,0,3,0,0,0,0,0,0,28,31,257,53,35,0,0,1,1,14,2,2,0,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,145,140,0,0,BNLI.pdf,2018
39,76,15,0,1,0,0,0,5,0,0,0,0,6,0,4,0,8,0,0,0,4,8,0,2,0,1,0,0,0,0,0,0,0,1,1,0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,52,2,202,11,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,9,0,0,BBKP.pdf,2018
40,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,17,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,14,43,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,126,0,0,PNBS.pdf,2018
41,98,2,0,1,0,0,0,0,0,0,0,0,4,2,17,1,16,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,0,1,8,100,3,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,41,63,0,0,BINA.pdf,2018
42,64,2,0,0,1,2,0,0,0,0,0,0,1,0,19,0,25,0,0,0,0,32,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,2,0,0,3,0,0,0,0,0,0,20,20,60,11,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,113,110,0,0,AGRO.pdf,2018
43,2,1,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,BANK.pdf,2018
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,BBHI.pdf,2018
45,24,0,0,0,2,0,0,0,0,0,0,0,10,0,16,0,22,0,0,0,0,34,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,17,76,7,11,0,0,0,0,2,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,34,39,0,0,BGTG.pdf,2018
46,70,2,0,1,2,0,0,0,0,0,0,0,8,0,32,0,20,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,7,31,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,76,84,0,0,NOBU.pdf,2018
